m = 4
  X      F       P0       P1       P2       P3       P4
0.00    0.80     2.28     0.52     0.81     0.94     0.80
0.12    1.20     2.28     0.94     1.03     0.98     1.14
0.19    1.10     2.28     1.18     1.18     1.09     1.24
0.35    1.70     2.28     1.73     1.60     1.52     1.49
0.40    1.40     2.28     1.91     1.75     1.69     1.61
0.45    1.90     2.28     2.08     1.90     1.88     1.76
0.62    2.40     2.28     2.67     2.51     2.59     2.52
0.71    3.10     2.28     2.98     2.87     2.98     3.01
0.84    3.50     2.28     3.43     3.44     3.53     3.67
0.91    4.10     2.28     3.67     3.78     3.80     3.91
1.00    3.90     2.28     3.98     4.23     4.10     3.96
     S          11.50     0.72     0.34     0.33     0.22
