m = 7
  X      F     P1     P2     P3     P4     P5     P6     P7
0.00   0.80    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.12   1.20    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.19   1.10    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.35   1.70    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.40   1.40    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.45   1.90    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.62   2.40    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.71   3.10    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.84   3.50    0.0    0.0    0.0    0.0    0.0    0.0    0.0
0.91   4.10    0.0    0.0    0.0    0.0    0.0    0.0    0.0
1.00   3.90    0.0    0.0    0.0    0.0    0.0    0.0    0.0
     S         0.0    0.0    0.0    0.0    0.0    0.0    0.0
