  t    Yрунге-кутта     Yадамса    Yаналитический  Y'рунге-кутта    Y'адамса    Y'аналитический
0.000 2.00000000000  2.00000000000  2.00000000000  -7.7500000000  -7.7500000000  -7.7500000000
0.005 1.95712955000  1.95712955000  1.95709803000  -7.5730436400  -7.5730436400  -7.5727921400
0.011 1.91523974000  1.91523974000  1.91517740000  -7.4000126600  -7.4000126600  -7.3995096000
0.016 1.87430886000  1.87430886000  1.87421636000  -7.2308202500  -7.2308202500  -7.2300654500
0.022 1.83431566000  1.86557173000  1.83419366000  -7.0653815100  -7.1881340000  -7.0643746500
0.139 1.17803163000           none  1.17741813000  -4.3262698900           none  -4.3196725100
0.279 0.72353329300           none  0.72255958900  -2.3754855300           none  -2.3602383600
0.420 0.47894439200           none  0.47774795200  -1.2696727500           none  -1.2409918100
0.559 0.35427023000           none  0.35291700900  -0.6527992030           none  -0.6016680350
0.700 0.29811432100           none  0.29662012500  -0.3261452930           none  -0.2364805010
0.840 0.28113470500           none  0.27947051800  -0.1842898530           none  -0.0278820716
0.980 0.28659913400           none  0.28468218900  -0.1810897680           none  0.09127124200
1.120 0.30499897600           none  0.30266682600  -0.3146755590           none  0.15933269500
1.260 0.33098802500           none  0.32794749700  -0.6265855110           none  0.19821001300
1.400          none           none  0.35739572700           none           none  0.22041709000
1.540          none           none  0.38922450700           none           none  0.23310197400
1.680          none           none  0.42241307600           none           none  0.24034769400
1.820          none           none  0.45637837100           none           none  0.24448651500
1.960          none           none  0.49078733800           none           none  0.24685064800
2.100          none           none  0.52544973500           none           none  0.24820106100
2.240          none           none  0.56025689300           none           none  0.24897243000
2.380          none           none  0.59514673900           none           none  0.24941304300
2.520          none           none  0.63008381900           none           none  0.24966472500
2.660          none           none  0.66504787800           none           none  0.24980848800
2.800          none           none  0.70002734800           none           none  0.24989060600
2.940          none           none  0.73501562200           none           none  0.24993751300
